CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
France,FRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1960,33.9466
France,FRA,Age dependency ratio (% of working-age population),SP.POP.DPND,1960,60.909719291057606
France,FRA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1960,18.6461502714698
France,FRA,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1960,42.2635690195879
France,FRA,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,1960,16199263308.2786
France,FRA,"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN,1960,13157745800.0
France,FRA,"Agriculture, value added (current LCU)",NV.AGR.TOTL.CN,1960,4960000000.0
France,FRA,"Agriculture, value added (current US$)",NV.AGR.TOTL.CD,1960,6590049342.02451
France,FRA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1960,4.486547313204031
France,FRA,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,1960,1133000000.0
France,FRA,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,421000000.0
France,FRA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1960,18.7
France,FRA,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,1960,0.5154697249030349
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,1960,271218.654
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1960,5.79350794502963
France,FRA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,1960,25.318544673012
France,FRA,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1960,2.09837484113464
France,FRA,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1960,5691.184
France,FRA,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,1960,28.5633162975582
France,FRA,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1960,77469.042
France,FRA,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,1960,35.8727356463003
France,FRA,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,1960,0.917255142769422
France,FRA,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,1960,24.2247466994166
France,FRA,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,1960,66.7315648576296
France,FRA,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,1960,180988.452
France,FRA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,1960,13.662879950875
France,FRA,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,1960,3.42352939483535
France,FRA,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,1960,0.0
France,FRA,Consumer price index (2010 = 100),FP.CPI.TOTL,1960,10.372747284749401
France,FRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1960,11.4
France,FRA,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,1960,0.752649903297424
France,FRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1960,1456.6936122445002
France,FRA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1960,9.12482180684528
France,FRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,1960,36.4686446661959
